Timestamp,Source IP,Destination IP,Protocol,Predicted_Label,Explanation
2025-10-19 18:42:34,10.229.181.206,10.229.181.14,17,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:42:34,10.229.181.206,10.229.181.14,17,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:42:34,10.229.181.14,10.229.181.206,17,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:42:34,10.229.181.206,20.42.65.89,6,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:42:34,20.42.65.89,10.229.181.206,6,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:42:44,10.229.181.206,104.46.162.226,6,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:42:44,104.46.162.226,10.229.181.206,6,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:42:54,10.229.181.206,104.46.162.226,6,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:42:54,104.46.162.226,10.229.181.206,6,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:43:04,10.229.181.206,57.144.209.32,6,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:43:04,57.144.209.32,10.229.181.206,6,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:43:04,10.229.181.206,10.229.181.14,17,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:43:04,10.229.181.14,10.229.181.206,17,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:43:04,10.229.181.206,10.229.181.14,17,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:43:14,10.229.181.206,10.229.181.14,17,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:43:14,10.229.181.206,10.229.181.14,17,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:43:14,10.229.181.206,10.229.181.14,17,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:43:14,10.229.181.14,10.229.181.206,17,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:43:14,10.229.181.14,10.229.181.206,17,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:43:25,10.229.181.206,57.144.209.32,6,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:43:25,57.144.209.32,10.229.181.206,6,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:43:25,10.229.181.206,10.229.181.14,17,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:43:25,10.229.181.206,10.229.181.14,17,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:43:25,10.229.181.14,10.229.181.206,17,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:43:35,10.229.181.206,20.42.65.94,6,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
2025-10-19 18:43:35,20.42.65.94,10.229.181.206,6,Normal Traffic,⚠️ Suspicious flow behavior matches pattern: Normal Traffic
